time 	curr	srvc	payld	bdw	NoC	InPort	target_router
34090	258	14	2	2	1	E	0
34091	2	14	2	2	1	E	0
34087	0	24	8	13	3	W	0
34109	0	29	4	4	2	L	0
34029	0	14	2	87	1	S	0
34114	0	19	2	2	2	L	8192
34126	0	14	2	2	1	L	0
34131	0	24	8	13	3	W	0
34153	0	29	4	4	2	L	1
34155	1	29	4	4	2	N	1
34117	0	14	2	43	1	S	0
34158	0	19	2	2	2	L	8192
34093	1	14	2	68	1	S	0
34172	1	14	2	2	1	L	0
34175	0	24	8	13	3	W	0
34197	0	29	4	4	2	L	256
34199	256	29	4	4	2	W	256
34202	0	19	2	2	2	L	8192
34216	256	14	2	2	1	L	0
34218	0	14	2	2	1	E	0
34219	0	24	8	13	3	W	0
34241	0	29	4	4	2	L	257
34243	256	29	4	4	2	W	257
34161	0	14	2	87	1	S	0
34246	0	19	2	2	2	L	8192
34245	257	29	4	4	2	N	257
34262	257	14	2	2	1	L	0
34264	1	14	2	2	1	E	0
34263	0	24	8	13	3	W	0
34285	0	29	4	4	2	L	512
34287	256	29	4	4	2	W	512
34290	0	19	2	2	2	L	8192
34288	512	29	4	4	2	W	512
34305	512	14	2	2	1	L	0
34307	256	14	2	2	1	E	0
34308	0	14	2	2	1	E	0
34307	0	24	8	13	3	W	0
34329	0	29	4	4	2	L	2
34331	1	29	4	4	2	N	2
34249	0	14	2	87	1	S	0
34334	0	19	2	2	2	L	8192
34332	2	29	4	4	2	N	2
34349	2	14	2	2	1	L	0
34351	1	14	2	2	1	S	0
34351	0	24	8	13	3	W	0
34373	0	29	4	4	2	L	513
34375	256	29	4	4	2	W	513
34378	0	19	2	2	2	L	8192
34376	512	29	4	4	2	W	513
34378	513	29	4	4	2	N	513
34395	513	14	2	2	1	L	0
34397	257	14	2	2	1	E	0
34395	0	24	8	13	3	W	0
34417	0	29	4	4	2	L	0
34337	0	14	2	87	1	S	0
34422	0	19	2	2	2	L	8192
34398	1	14	2	27	1	E	0
34434	0	14	2	2	1	L	0
34439	0	24	8	13	3	W	0
34461	0	29	4	4	2	L	258
34463	256	29	4	4	2	W	258
34425	0	14	2	43	1	S	0
34466	0	19	2	2	2	L	8192
34465	257	29	4	4	2	N	258
34466	258	29	4	4	2	N	258
34483	258	14	2	2	1	L	0
34485	2	14	2	2	1	E	0
34487	1	14	2	2	1	S	0
34483	0	24	8	13	3	W	0
34505	0	29	4	4	2	L	256
34507	256	29	4	4	2	W	256
34510	0	19	2	2	2	L	8192
34524	256	14	2	2	1	L	0
34526	0	14	2	2	1	E	0
34527	0	24	8	13	3	W	0
34549	0	29	4	4	2	L	514
34551	256	29	4	4	2	W	514
34469	0	14	2	87	1	S	0
34554	0	19	2	2	2	L	8192
34552	512	29	4	4	2	W	514
34554	513	29	4	4	2	N	514
34555	514	29	4	4	2	N	514
34572	514	14	2	2	1	L	0
