time 	curr	srvc	payld	bdw	NoC	InPort	target_router
6341	258	14	2	2	1	E	0
6342	2	14	2	2	1	E	0
6338	0	24	8	13	3	W	0
6360	0	29	4	4	2	L	0
6280	0	14	2	87	1	S	0
6365	0	19	2	2	2	L	8192
6377	0	14	2	2	1	L	0
6382	0	24	8	13	3	W	0
6404	0	29	4	4	2	L	1
6406	1	29	4	4	2	N	1
6368	0	14	2	43	1	S	0
6409	0	19	2	2	2	L	8192
6344	1	14	2	68	1	S	0
6423	1	14	2	2	1	L	0
6426	0	24	8	13	3	W	0
6448	0	29	4	4	2	L	256
6450	256	29	4	4	2	W	256
6453	0	19	2	2	2	L	8192
6467	256	14	2	2	1	L	0
6469	0	14	2	2	1	E	0
6470	0	24	8	13	3	W	0
6492	0	29	4	4	2	L	257
6494	256	29	4	4	2	W	257
6412	0	14	2	87	1	S	0
6497	0	19	2	2	2	L	8192
6496	257	29	4	4	2	N	257
6513	257	14	2	2	1	L	0
6515	1	14	2	2	1	E	0
6514	0	24	8	13	3	W	0
6536	0	29	4	4	2	L	512
6538	256	29	4	4	2	W	512
6541	0	19	2	2	2	L	8192
6539	512	29	4	4	2	W	512
6556	512	14	2	2	1	L	0
6558	256	14	2	2	1	E	0
6559	0	14	2	2	1	E	0
6558	0	24	8	13	3	W	0
6580	0	29	4	4	2	L	2
6582	1	29	4	4	2	N	2
6500	0	14	2	87	1	S	0
6585	0	19	2	2	2	L	8192
6583	2	29	4	4	2	N	2
6600	2	14	2	2	1	L	0
6602	1	14	2	2	1	S	0
6602	0	24	8	13	3	W	0
6624	0	29	4	4	2	L	513
6626	256	29	4	4	2	W	513
6629	0	19	2	2	2	L	8192
6627	512	29	4	4	2	W	513
6629	513	29	4	4	2	N	513
6646	513	14	2	2	1	L	0
6648	257	14	2	2	1	E	0
6646	0	24	8	13	3	W	0
6668	0	29	4	4	2	L	0
6588	0	14	2	87	1	S	0
6673	0	19	2	2	2	L	8192
6649	1	14	2	27	1	E	0
6685	0	14	2	2	1	L	0
6690	0	24	8	13	3	W	0
6712	0	29	4	4	2	L	258
6714	256	29	4	4	2	W	258
6676	0	14	2	43	1	S	0
6717	0	19	2	2	2	L	8192
6716	257	29	4	4	2	N	258
6717	258	29	4	4	2	N	258
6734	258	14	2	2	1	L	0
6736	2	14	2	2	1	E	0
6738	1	14	2	2	1	S	0
6734	0	24	8	13	3	W	0
6756	0	29	4	4	2	L	256
6758	256	29	4	4	2	W	256
6761	0	19	2	2	2	L	8192
6775	256	14	2	2	1	L	0
6777	0	14	2	2	1	E	0
6778	0	24	8	13	3	W	0
6800	0	29	4	4	2	L	514
6802	256	29	4	4	2	W	514
6720	0	14	2	87	1	S	0
6805	0	19	2	2	2	L	8192
6803	512	29	4	4	2	W	514
6805	513	29	4	4	2	N	514
6806	514	29	4	4	2	N	514
6823	514	14	2	2	1	L	0
6825	258	14	2	2	1	E	0
6826	2	14	2	2	1	E	0
6822	0	24	8	13	3	W	0
6844	0	29	4	4	2	L	512
6846	256	29	4	4	2	W	512
6849	0	19	2	2	2	L	8192
6847	512	29	4	4	2	W	512
6864	512	14	2	2	1	L	0
6866	256	14	2	2	1	E	0
6867	0	14	2	2	1	E	0
6866	0	24	8	13	3	W	0
6888	0	29	4	4	2	L	1
6890	1	29	4	4	2	N	1
6808	0	14	2	87	1	S	0
6893	0	19	2	2	2	L	8192
6828	1	14	2	68	1	S	0
6907	1	14	2	2	1	L	0
6910	0	24	8	13	3	W	0
6932	0	29	4	4	2	L	257
6934	256	29	4	4	2	W	257
6937	0	19	2	2	2	L	8192
6936	257	29	4	4	2	N	257
6953	257	14	2	2	1	L	0
6955	1	14	2	2	1	E	0
6954	0	24	8	13	3	W	0
6976	0	29	4	4	2	L	0
6896	0	14	2	87	1	S	0
6981	0	19	2	2	2	L	8192
6993	0	14	2	2	1	L	0
6998	0	24	8	13	3	W	0
7020	0	29	4	4	2	L	2
7022	1	29	4	4	2	N	2
6984	0	14	2	43	1	S	0
7025	0	19	2	2	2	L	8192
7023	2	29	4	4	2	N	2
7040	2	14	2	2	1	L	0
7042	1	14	2	2	1	S	0
7042	0	24	8	13	3	W	0
7064	0	29	4	4	2	L	256
7066	256	29	4	4	2	W	256
7069	0	19	2	2	2	L	8192
7083	256	14	2	2	1	L	0
7085	0	14	2	2	1	E	0
7086	0	24	8	13	3	W	0
7108	0	29	4	4	2	L	513
7110	256	29	4	4	2	W	513
7028	0	14	2	87	1	S	0
7113	0	19	2	2	2	L	8192
7111	512	29	4	4	2	W	513
7113	513	29	4	4	2	N	513
7130	513	14	2	2	1	L	0
7132	257	14	2	2	1	E	0
7133	1	14	2	2	1	E	0
7130	0	24	8	13	3	W	0
7152	0	29	4	4	2	L	512
7154	256	29	4	4	2	W	512
7157	0	19	2	2	2	L	8192
7155	512	29	4	4	2	W	512
7172	512	14	2	2	1	L	0
7174	256	14	2	2	1	E	0
7175	0	14	2	2	1	E	0
7174	0	24	8	13	3	W	0
7196	0	29	4	4	2	L	258
7198	256	29	4	4	2	W	258
7116	0	14	2	87	1	S	0
7201	0	19	2	2	2	L	8192
7200	257	29	4	4	2	N	258
7201	258	29	4	4	2	N	258
7218	258	14	2	2	1	L	0
7220	2	14	2	2	1	E	0
7222	1	14	2	2	1	S	0
7218	0	24	8	13	3	W	0
7240	0	29	4	4	2	L	514
7242	256	29	4	4	2	W	514
7245	0	19	2	2	2	L	8192
7243	512	29	4	4	2	W	514
7245	513	29	4	4	2	N	514
7246	514	29	4	4	2	N	514
7263	514	14	2	2	1	L	0
7265	258	14	2	2	1	E	0
7266	2	14	2	2	1	E	0
7262	0	24	8	13	3	W	0
7284	0	29	4	4	2	L	0
7204	0	14	2	87	1	S	0
7289	0	19	2	2	2	L	8192
7301	0	31	2	2	1	L	0
7306	0	24	8	13	3	W	0
7328	0	29	4	4	2	L	1
7330	1	29	4	4	2	N	1
7292	0	14	2	43	1	S	0
7333	0	19	2	2	2	L	8192
7268	1	14	2	68	1	S	0
7347	1	14	2	2	1	L	0
7350	0	24	8	13	3	W	0
7372	0	29	4	4	2	L	256
7374	256	29	4	4	2	W	256
7377	0	19	2	2	2	L	8192
7391	256	31	2	2	1	L	0
7393	0	31	2	2	1	E	0
7394	0	24	8	13	3	W	0
7416	0	29	4	4	2	L	257
7418	256	29	4	4	2	W	257
7336	0	14	2	87	1	S	0
7421	0	19	2	2	2	L	8192
7420	257	29	4	4	2	N	257
7437	257	14	2	2	1	L	0
7439	1	14	2	2	1	E	0
7438	0	24	8	13	3	W	0
7460	0	29	4	4	2	L	512
7462	256	29	4	4	2	W	512
7465	0	19	2	2	2	L	8192
7463	512	29	4	4	2	W	512
7480	512	31	2	2	1	L	0
7482	256	31	2	2	1	E	0
7483	0	31	2	2	1	E	0
7482	0	24	8	13	3	W	0
7504	0	29	4	4	2	L	2
7506	1	29	4	4	2	N	2
7424	0	14	2	87	1	S	0
7509	0	19	2	2	2	L	8192
7507	2	29	4	4	2	N	2
7524	2	14	2	2	1	L	0
7526	1	14	2	2	1	S	0
7526	0	24	8	13	3	W	0
7548	0	29	4	4	2	L	513
7550	256	29	4	4	2	W	513
7553	0	19	2	2	2	L	8192
7551	512	29	4	4	2	W	513
7553	513	29	4	4	2	N	513
7570	513	14	2	2	1	L	0
7572	257	14	2	2	1	E	0
7569	0	24	8	13	3	W	0
7591	0	29	4	4	2	L	0
7512	0	14	2	86	1	S	0
7596	0	19	2	2	2	L	8192
7573	1	14	2	26	1	E	0
7619	0	31	2	2	1	L	0
7613	0	24	8	13	3	W	0
7635	0	29	4	4	2	L	258
7637	256	29	4	4	2	W	258
7599	0	14	2	43	1	S	0
7639	257	29	4	4	2	N	258
7640	0	29	4	4	2	L	256
7640	258	29	4	4	2	N	258
7645	0	19	2	2	2	L	8192
7643	256	29	4	4	2	W	256
7657	258	14	2	2	1	L	0
7659	2	14	2	2	1	E	0
7661	1	14	2	2	1	S	0
7671	256	31	2	2	1	L	0
7673	0	31	2	2	1	E	0
7663	0	24	8	13	3	W	0
7685	0	29	4	4	2	L	514
7687	256	29	4	4	2	W	514
7643	0	14	2	49	1	S	0
7688	512	29	4	4	2	W	514
7690	0	29	4	4	2	L	512
7690	513	29	4	4	2	N	514
7691	514	29	4	4	2	N	514
7695	0	19	2	2	2	L	8192
7693	256	29	4	4	2	W	512
7694	512	29	4	4	2	W	512
7708	514	14	2	2	1	L	0
7710	258	14	2	2	1	E	0
7711	2	14	2	2	1	E	0
7722	512	31	2	2	1	L	0
7713	0	24	8	13	3	W	0
7724	256	31	2	2	1	E	0
7725	0	31	2	2	1	E	0
7735	0	29	4	4	2	L	1
7737	1	29	4	4	2	N	1
7693	0	14	2	49	1	S	0
7740	0	19	2	2	2	L	8192
7713	1	14	2	30	1	S	0
7754	1	14	2	2	1	L	0
7757	0	24	8	13	3	W	0
7779	0	29	4	4	2	L	257
7781	256	29	4	4	2	W	257
7783	257	29	4	4	2	N	257
7784	0	29	4	4	2	L	0
7743	0	14	2	48	1	S	0
7789	0	19	2	2	2	L	8192
7800	257	14	2	2	1	L	0
7802	1	14	2	2	1	E	0
7813	0	31	2	2	1	L	0
7807	0	24	8	13	3	W	0
7829	0	29	4	4	2	L	2
7831	1	29	4	4	2	N	2
7792	0	14	2	44	1	S	0
7832	2	29	4	4	2	N	2
7834	0	29	4	4	2	L	256
7839	0	19	2	2	2	L	8192
7837	256	29	4	4	2	W	256
7849	2	14	2	2	1	L	0
7851	1	14	2	2	1	S	0
7865	256	31	2	2	1	L	0
